Date,Price
2004/11/30,12548.0201
2004/12/31,12974.6975
2005/01/31,12658.4237
2005/02/28,12924.7851
2005/03/31,12695.9049
2005/04/29,12455.1553
2005/05/31,12851.4355
2005/06/30,12869.7031
2005/07/29,13348.2841
2005/08/31,13226.5057
2005/09/30,13333.6281
2005/10/31,13111.4061
2005/11/30,13607.2697
2005/12/30,13611.3574
2006/01/31,13971.8456
2006/02/28,14009.6187
2006/03/31,14183.869
2006/04/28,14374.2819
2006/05/31,13960.5924
2006/06/30,13979.1018
2006/07/31,14065.3765
2006/08/31,14400.0569
2006/09/29,14770.7965
2006/10/31,15252.0564
2006/11/30,15542.1115
2006/12/29,15758.7814
2007/01/31,15997.0777
2007/02/28,15684.2592
2007/03/30,15859.4455
2007/04/30,16562.0177
2007/05/31,17139.7835
2007/06/29,16854.8732
2007/07/31,16332.3343
2007/08/31,16577.121
2007/09/28,17196.9146
2007/10/31,17470.4559
2007/11/30,16753.6272
2007/12/31,16636.7577
2008/01/31,15638.8372
2008/02/29,15130.7344
2008/03/31,15065.3206
2008/04/30,15799.1297
2008/05/30,16003.767
2008/06/30,14654.4616
2008/07/31,14531.2729
2008/08/29,14741.497
2008/09/30,13427.8037
2008/10/31,11172.593
2008/11/28,10370.9822
2008/12/31,10481.1791
2009/01/30,9597.791
2009/02/27,8575.8308
2009/03/31,9327.0651
2009/04/30,10219.5691
2009/05/29,10790.8475
2009/06/30,10812.2046
2009/07/31,11629.9423
2009/08/31,12049.5982
2009/09/30,12499.1819
2009/10/30,12266.8614
2009/11/30,13002.1504
2009/12/31,13253.2561
2010/01/29,12776.5255
2010/02/26,13172.0317
2010/03/31,13966.9253
2010/04/30,14187.3285
2010/05/31,13054.5022
2010/06/30,12371.031
2010/07/30,13237.7324
2010/08/31,12640.092
2010/09/30,13768.093
2010/10/29,14291.9435
2010/11/30,14293.6648
2010/12/31,15249.0176
2011/01/31,15610.378
2011/02/28,16145.0446
2011/03/31,16151.5577
2011/04/29,16629.753
2011/05/31,16441.4622
2011/06/30,16167.3769
2011/07/29,15838.5201
2011/08/31,14978.011
2011/09/30,13925.1113
2011/10/31,15447.0124
2011/11/30,15412.7197
2011/12/30,15570.0911
2012/01/31,16267.8212
2012/02/29,16971.2819
2012/03/30,17528.8452
2012/04/30,17418.715
2012/05/31,16371.8596
2012/06/29,17046.4515
2012/07/31,17283.1562
2012/08/31,17672.7578
2012/09/28,18129.3959
2012/10/31,17794.6561
2012/11/30,17897.8394
2012/12/31,18060.2544
2013/01/31,18995.6056
2013/02/28,19253.3482
2013/03/29,19975.4414
2013/04/30,20360.2625
2013/05/31,20836.1159
2013/06/28,20556.3659
2013/07/31,21602.3525
2013/08/30,20976.3141
2013/09/30,21634.1784
2013/10/31,22628.5485
2013/11/29,23317.7821
2013/12/31,23906.5082
2014/01/31,23079.9587
2014/02/28,24135.3052
2014/03/31,24338.2342
2014/04/30,24518.0784
2014/05/30,25093.1999
2014/06/30,25611.5821
2014/07/31,25258.3399
2014/08/29,26268.4906
2014/09/30,25900.1808
2014/10/31,26532.6718
2014/11/28,27245.6637
2014/12/31,27175.554
2015/01/30,26359.7898
2015/02/27,27874.4193
2015/03/31,27433.6788
2015/04/30,27696.5072
2015/05/29,28052.7185
2015/06/30,27509.6686
2015/07/31,28086.1167
2015/08/31,26391.2061
2015/09/30,25738.303
2015/10/30,27909.3858
2015/11/30,27992.1372
2015/12/31,27548.1152
2016/01/29,26181.0252
2016/02/29,26145.4471
2016/03/31,27919.0391
2016/04/29,28027.34
2016/05/31,28530.2546
2016/06/30,28604.3008
2016/07/29,29658.7852
2016/08/31,29700.5219
2016/09/30,29705.7647
2016/10/31,29163.8794
2016/11/30,30244.0011
2016/12/30,30839.4866
2017/01/31,31424.3982
2017/02/28,32672.1133
2017/03/31,32709.9255
2017/04/28,33045.8909
2017/05/31,33510.9134
2017/06/30,33719.7507
2017/07/31,34413.1031
2017/08/31,34518.4464
2017/09/29,35230.2081
2017/10/31,36052.2608
2017/11/30,37158.0321
2017/12/29,37568.2233
